QUERY DESCRIPTIONS

Q01 : Total Geometry Total Force Y
GROUP/TYPE:,daoju_Body_0
SELECTED OBJECTS:,All
RANGE:,None
UNITS:,N

EXTRACTED DATA

TIME,Q01 : Total Geometry Total Force Y
0,0
1.02e-05,0
2.01e-05,0
3e-05,0
4.02e-05,0
5.01e-05,0
6e-05,0
7.02e-05,0
8.01e-05,0
9e-05,0
0.0001002,0
0.0001101,0
0.00012,0
0.0001302,0
0.0001401,0
0.00015,0
0.0001602,0
0.0001701,0
0.00018,0
0.0001902,0
0.0002001,0
0.00021,0
0.0002202,0
0.0002301,0
0.00024,0
0.0002502,0
0.0002601,0
0.00027,0
0.0002802,0
0.0002901,0
0.0003,0
0.0003102,0
0.0003201,0
0.00033,0
0.0003402,0
0.0003501,0
0.00036,0
0.0003702,0
0.0003801,0
0.00039,0
0.0004002,0
0.0004101,0
0.00042,0
0.0004302,0
0.0004401,0
0.00045,0
0.0004602,0
0.0004701,0
0.00048,0
0.0004902,0
0.0005001,0
0.00051,0
0.0005202,0
0.0005301,0
0.00054,0
0.0005502,0
0.0005601,0
0.00057,0
0.0005802,0
0.0005901,0
0.0006,0
0.0006102,0
0.0006201,0
0.00063,0
0.0006402,0
0.0006501,0
0.00066,0
0.0006702,0
0.0006801,0
0.00069,0
0.0007002,0
0.0007101,0
0.00072,0
0.0007302,0
0.0007401,0
0.00075,0
0.0007602,0
0.0007701,0
0.00078,0
0.0007902,0
0.0008001,0
0.00081,0
0.0008202,0
0.0008301,0
0.00084,0
0.0008502,0
0.0008601,0
0.00087,0
0.0008802,0
0.0008901,0
0.0009,0
0.0009102,0
0.0009201,0
0.00093,0
0.0009402,0
0.0009501,0
0.00096,0
0.0009702,0
0.0009801,0
0.00099,0
0.0010002,0
0.0010101,0
0.00102,0
0.0010302,0
0.0010401,0
0.00105,0
0.0010602,0
0.0010701,0
0.00108,0
0.0010902,0
0.0011001,0
0.00111,0
0.0011202,0
0.0011301,0
0.00114,0
0.0011502,0
0.0011601,0
0.00117,0
0.0011802,0
0.0011901,0
0.0012,0
0.0012102,0
0.0012201,0
0.00123,0
0.0012402,0
0.0012501,0
0.00126,0
0.0012702,0
0.0012801,0
0.00129,0
0.0013002,0
0.0013101,0
0.00132,0
0.0013302,0
0.0013401,0
0.00135,0
0.0013602,0
0.0013701,0
0.00138,0
0.0013902,0
0.0014001,0
0.00141,0
0.0014202,0
0.0014301,0
0.00144,0
0.0014502,0
0.0014601,0
0.00147,0
0.0014802,0
0.0014901,0
0.0015,0
0.0015102,0
0.0015201,0
0.00153,0
0.0015402,0
0.0015501,0
0.00156,0
0.0015702,0
0.0015801,0
0.00159,0
0.0016002,0
0.0016101,0
0.00162,0
0.0016302,0
0.0016401,0
0.00165,0
0.0016602,0
0.0016701,0
0.00168,0
0.0016902,0
0.0017001,0
0.00171,0
0.0017202,0
0.0017301,0
0.00174,0
0.0017502,0
0.0017601,0
0.00177,0
0.0017802,0
0.0017901,0
0.0018,0
0.0018102,0
0.0018201,0
0.00183,0
0.0018402,0
0.0018501,0
0.00186,0
0.0018702,0
0.0018801,0
0.00189,0
0.0019002,0
0.0019101,0
0.00192,0
0.0019302,0
0.0019401,0
0.00195,0
0.0019602,0
0.0019701,0
0.00198,0
0.0019902,0
0.0020001,0
0.00201,0
0.0020202,0
0.0020301,0
0.00204,0
0.0020502,0
0.0020601,0
0.00207,0
0.0020802,0
0.0020901,0
0.0021,0
0.0021102,0
0.0021201,0
0.00213,0
0.0021402,0
0.0021501,0
0.00216,0
0.0021702,0
0.0021801,0
0.00219,0
0.0022002,0
0.0022101,0
0.00222,0
0.0022302,0
0.0022401,0
0.00225,0
0.0022602,0
0.0022701,0
0.00228,0
0.0022902,0
0.0023001,0
0.00231,0
0.0023202,0
0.0023301,0
0.00234,0
0.0023502,0
0.0023601,0
0.00237,0
0.0023802,0
0.0023901,0
0.0024,0
0.0024102,0
0.0024201,0
0.00243,0
0.0024402,0
0.0024501,0
0.00246,0
0.0024702,0
0.0024801,0
0.00249,0
0.0025002,0
0.0025101,0
0.00252,0
0.0025302,0
0.0025401,0
0.00255,0
0.0025602,0
0.0025701,0
0.00258,0
0.0025902,0
0.0026001,0
0.00261,0
0.0026202,0
0.0026301,0
0.00264,0
0.0026502,0
0.0026601,0
0.00267,0
0.0026802,0
0.0026901,0
0.0027,0
0.0027102,0
0.0027201,0
0.00273,0
0.0027402,0
0.0027501,0
0.00276,0
0.0027702,0
0.0027801,0
0.00279,0
0.0028002,0
0.0028101,0
0.00282,0
0.0028302,0
0.0028401,0
0.00285,0
0.0028602,0
0.0028701,0
0.00288,0
0.0028902,0
0.0029001,0
0.00291,0
0.0029202,0
0.0029301,0
0.00294,0
0.0029502,0
0.0029601,0
0.00297,0
0.0029802,0
0.0029901,0
0.003,0
0.0030102,0
0.0030201,0
0.00303,0
0.0030402,0
0.0030501,0
0.00306,0
0.0030702,0
0.0030801,0
0.00309,0
0.0031002,0
0.0031101,0
0.00312,0
0.0031302,0
0.0031401,0
0.00315,0
0.0031602,0
0.0031701,0
0.00318,0
0.0031902,0
0.0032001,0
0.00321,0
0.0032202,0
0.0032301,0
0.00324,0
0.0032502,0
0.0032601,0
0.00327,0
0.0032802,0
0.0032901,0
0.0033,0
0.0033102,0
0.0033201,0
0.00333,0
0.0033402,0
0.0033501,0
0.00336,0
0.0033702,0
0.0033801,0
0.00339,0
0.0034002,0
0.0034101,0
0.00342,0
0.0034302,0
0.0034401,0
0.00345,0
0.0034602,0
0.0034701,0
0.00348,0
0.0034902,0
0.0035001,0
0.00351,0
0.0035202,0
0.0035301,0
0.00354,0
0.0035502,0
0.0035601,0
0.00357,0
0.0035802,0
0.0035901,0
0.0036,0
0.0036102,0
0.0036201,0
0.00363,0
0.0036402,0
0.0036501,0
0.00366,0
0.0036702,0
0.0036801,0
0.00369,0
0.0037002,0
0.0037101,0
0.00372,0
0.0037302,0
0.0037401,0
0.00375,0
0.0037602,0
0.0037701,0
0.00378,0
0.0037902,0
0.0038001,0
0.00381,0
0.0038202,0
0.0038301,0
0.00384,0
0.0038502,0
0.0038601,0
0.00387,0
0.0038802,0
0.0038901,0
0.0039,0
0.0039102,0
0.0039201,0
0.00393,0
0.0039402,0
0.0039501,0
0.00396,0
0.0039702,0
0.0039801,0
0.00399,0
0.0040002,0
0.0040101,0
0.00402,0
0.0040302,0
0.0040401,0
0.00405,0
0.0040602,0
0.0040701,0
0.00408,0
0.0040902,0
0.0041001,0
0.00411,0
0.0041202,0
0.0041301,0
0.00414,0
0.0041502,0
0.0041601,0
0.00417,0
0.0041802,0
0.0041901,0
0.0042,0
0.0042102,0
0.0042201,0
0.00423,0
0.0042402,0
0.0042501,0
0.00426,0
0.0042702,0
0.0042801,0
0.00429,0
0.0043002,0
0.0043101,0
0.00432,0
0.0043302,0
0.0043401,0
0.00435,0
0.0043602,0
0.0043701,0
0.00438,0
0.0043902,0
0.0044001,0
0.00441,0
0.0044202,0
0.0044301,0
0.00444,0
0.0044502,0
0.0044601,0
0.00447,0
0.0044802,0
0.0044901,0
0.0045,0
0.0045102,0
0.0045201,0
0.00453,0
0.0045402,0
0.0045501,0
0.00456,0
0.0045702,0
0.0045801,0
0.00459,0
0.0046002,0
0.0046101,0
0.00462,0
0.0046302,0
0.0046401,0
0.00465,0
0.0046602,0
0.0046701,0
0.00468,0
0.0046902,0
0.0047001,0
0.00471,0
0.0047202,0
0.0047301,0
0.00474,0
0.0047502,0
0.0047601,0
0.00477,0
0.0047802,0
0.0047901,0
0.0048,0
0.0048102,0
0.0048201,0
0.00483,0
0.0048402,0
0.0048501,0
0.00486,0
0.0048702,0
0.0048801,0
0.00489,0
0.0049002,0
0.0049101,0
0.00492,0
0.0049302,0
0.0049401,0
0.00495,0
0.0049602,0
0.0049701,0
0.00498,0
0.0049902,0
0.0050001,0
0.00501,0
0.0050202,0
0.0050301,0
0.00504,0
0.0050502,0
0.0050601,0
0.00507,0
0.0050802,0
0.0050901,0
0.0051,0
0.0051102,0
0.0051201,0
0.00513,0
0.0051402,0
0.0051501,0
0.00516,0
0.0051702,0
0.0051801,0
0.00519,0
0.0052002,0
0.0052101,0
0.00522,0
0.0052302,0
0.0052401,0
0.00525,0
0.0052602,0
0.0052701,0
0.00528,0
0.0052902,0
0.0053001,0
0.00531,0
0.0053202,0
0.0053301,0
0.00534,0
0.0053502,0
0.0053601,0
0.00537,0
0.0053802,0
0.0053901,0
0.0054,0
0.0054102,0
0.0054201,0
0.00543,0
0.0054402,0
0.0054501,0
0.00546,0
0.0054702,0
0.0054801,0
0.00549,0
0.0055002,0
0.0055101,0
0.00552,0
0.0055302,0
0.0055401,0
0.00555,0
0.0055602,0
0.0055701,0
0.00558,0
0.0055902,0
0.0056001,0
0.00561,0
0.0056202,0
0.0056301,0
0.00564,0
0.0056502,0
0.0056601,0
0.00567,0
0.0056802,0
0.0056901,0
0.0057,0
0.0057102,0
0.0057201,0
0.00573,0
0.0057402,0
0.0057501,0
0.00576,0
0.0057702,0
0.0057801,0
0.00579,0
0.0058002,0
0.0058101,0
0.00582,0
0.0058302,0
0.0058401,0
0.00585,0
0.0058602,0
0.0058701,0
0.00588,0
0.0058902,0
0.0059001,0
0.00591,0
0.0059202,0
0.0059301,0
0.00594,0
0.0059502,0
0.0059601,0
0.00597,0
0.0059802,0
0.0059901,0
